n,L,Delta,Kappa
100,1,0.03,0.009801
100,1,0.04,0.009178
100,1,0.05,0.014480000000000002
100,1,0.06,0.013716999999999998
100,1,0.07,0.016687
100,1,0.08,0.021934
100,1,0.09,0.025205
100,1,0.1,0.026912000000000002
100,1,0.11,0.033982
100,1,0.12,0.034629
100,1,0.13,0.038322
100,1,0.14,0.040969
100,1,0.15,0.045283
100,1,0.16,0.052314
100,1,0.17,0.053314
100,1,0.18,0.058320000000000004
100,1,0.19,0.064316
100,1,0.2,0.06730499999999999
100,1,0.21,0.075986
100,1,0.22,0.080653
100,1,0.23,0.084995
100,1,0.24,0.09333
100,1,0.25,0.099664
100,1,0.26,0.10299000000000001
100,1,0.27,0.10866400000000001
100,1,0.28,0.113331
100,1,0.29,0.123331
100,1,0.3,0.13
100,1,0.31,0.135331
100,1,0.32,0.143331
100,1,0.33,0.147331
100,1,0.34,0.154999
100,1,0.35,0.160995
100,1,0.36,0.167666
100,1,0.37,0.179333
100,1,0.38,0.17966600000000002
100,1,0.39,0.195
100,1,0.4,0.202667
100,1,0.41,0.207
100,1,0.42,0.217667
100,1,0.43,0.22866599999999998
100,1,0.44,0.22666599999999998
100,1,0.45,0.242
100,1,0.46,0.253333
100,1,0.47,0.259667
100,1,0.48,0.270333
100,1,0.49,0.277
100,1,0.5,0.289333
100,1,0.51,0.300667
100,1,0.52,0.308667
100,1,0.53,0.326333
100,1,0.54,0.326667
100,1,0.55,0.342667
100,1,0.56,0.350667
100,1,0.57,0.359667
100,1,0.58,0.372667
100,1,0.59,0.382
100,1,0.6,0.394333
100,1,0.61,0.405667
100,1,0.62,0.422333
100,1,0.63,0.426667
100,1,0.64,0.445667
100,1,0.65,0.456333
100,1,0.66,0.462667
100,1,0.67,0.479
100,1,0.68,0.494
100,1,0.69,0.509
100,1,0.7,0.516667
100,1,0.71,0.532
100,1,0.72,0.554
100,1,0.73,0.558667
100,1,0.74,0.580333
100,1,0.75,0.592333
100,1,0.76,0.603667
100,1,0.77,0.622333
100,1,0.78,0.63
100,1,0.79,0.645333
100,1,0.8,0.665
100,1,0.81,0.682667
100,1,0.82,0.695333
100,1,0.83,0.713667
100,1,0.84,0.723
100,1,0.85,0.741334
100,1,0.86,0.759667
100,1,0.87,0.777668
100,1,0.88,0.790668
100,1,0.89,0.811335
100,1,0.9,0.827341
100,1,0.91,0.84801
100,1,0.92,0.8670059999999999
100,1,0.93,0.883674
100,1,0.94,0.906349
100,1,0.95,0.916359
100,1,0.96,0.933082
100,1,0.97,0.9531229999999999
100,1,0.98,0.9734950000000001
100,1,0.99,0.987966
100,1,1.0,-1344124422948638.5
100,2,0.03,0.009481
100,2,0.04,0.009689
100,2,0.05,0.010653
100,2,0.06,0.014278
100,2,0.07,0.021435
100,2,0.08,0.023144
100,2,0.09,0.027183
100,2,0.1,0.034408
100,2,0.11,0.037207
100,2,0.12,0.045572
100,2,0.13,0.048175
100,2,0.14,0.05764400000000001
100,2,0.15,0.062311
100,2,0.16,0.067971
100,2,0.17,0.07261799999999999
100,2,0.18,0.08298
100,2,0.19,0.086982
100,2,0.2,0.092644
100,2,0.21,0.103655
100,2,0.22,0.11066
100,2,0.23,0.116323
100,2,0.24,0.124999
100,2,0.25,0.13266
100,2,0.26,0.143332
100,2,0.27,0.15166500000000002
100,2,0.28,0.15466400000000002
100,2,0.29,0.171665
100,2,0.3,0.174664
100,2,0.31,0.188331
100,2,0.32,0.191666
100,2,0.33,0.208666
100,2,0.34,0.21599899999999997
100,2,0.35,0.21599699999999997
100,2,0.36,0.228665
100,2,0.37,0.242331
100,2,0.38,0.255
100,2,0.39,0.263333
100,2,0.4,0.278
100,2,0.41,0.288999
100,2,0.42,0.304333
100,2,0.43,0.317333
100,2,0.44,0.323666
100,2,0.45,0.33966599999999997
100,2,0.46,0.355
100,2,0.47,0.367
100,2,0.48,0.37533299999999997
100,2,0.49,0.394
100,2,0.5,0.405667
100,2,0.51,0.425667
100,2,0.52,0.442
100,2,0.53,0.453
100,2,0.54,0.474667
100,2,0.55,0.486
100,2,0.56,0.503667
100,2,0.57,0.510333
100,2,0.58,0.543333
100,2,0.59,0.551
100,2,0.6,0.563334
100,2,0.61,0.590002
100,2,0.62,0.613334
100,2,0.63,0.629003
100,2,0.64,0.650011
100,2,0.65,0.6696880000000001
100,2,0.66,0.697358
100,2,0.67,0.720471
100,2,0.68,0.737835
100,2,0.69,0.7714
100,2,0.7,0.789096
100,2,0.71,0.8177369999999999
100,2,0.72,0.84152
100,2,0.73,0.873331
100,2,0.74,0.914845
100,2,0.75,0.93466
100,2,0.76,0.9742350000000001
100,2,0.77,0.9813219999999999
100,2,0.78,1.028451
100,2,0.79,1.031603
100,2,0.8,1.10314
100,2,0.81,1.058693
100,2,0.82,1.081935
100,2,0.83,1.1514389999999999
100,2,0.84,1.046294
100,2,0.85,1.316912
100,2,0.86,-1344124422948638.5
100,2,0.87,-1344124422948638.5
100,2,0.88,-1344124422948638.5
100,2,0.89,-1344124422948638.5
100,2,0.9,-1344124422948638.5
100,2,0.91,-1344124422948638.5
100,2,0.92,-1344124422948638.5
100,2,0.93,-1344124422948638.5
100,2,0.94,-1344124422948638.5
100,2,0.95,-1344124422948638.5
100,2,0.96,-1344124422948638.5
100,2,0.97,-1344124422948638.5
100,2,0.98,-1344124422948638.5
100,2,0.99,-1344124422948638.5
100,2,1.0,-1344124422948638.5
100,3,0.04,0.006670000000000001
100,3,0.05,0.011422
100,3,0.06,0.018818
100,3,0.07,0.0195
100,3,0.08,0.027183
100,3,0.09,0.032929
100,3,0.1,0.037594999999999996
100,3,0.11,0.040232
100,3,0.12,0.047902
100,3,0.13,0.053298000000000005
100,3,0.14,0.06130700000000001
100,3,0.15,0.067256
100,3,0.16,0.075323
100,3,0.17,0.082986
100,3,0.18,0.09366000000000001
100,3,0.19,0.09931799999999999
100,3,0.2,0.10765999999999999
100,3,0.21,0.11399000000000001
100,3,0.22,0.119325
100,3,0.23,0.129994
100,3,0.24,0.144332
100,3,0.25,0.141994
100,3,0.26,0.163996
