L,l,Delta,Rho,Kappa
1,1,0.020000,0.431864,0.008637
1,1,0.030000,0.326716,0.009801
1,1,0.040000,0.229449,0.009178
1,1,0.050000,0.289597,0.014480
1,1,0.060000,0.228611,0.013717
1,1,0.070000,0.238388,0.016687
1,1,0.080000,0.274177,0.021934
1,1,0.090000,0.280058,0.025205
1,1,0.100000,0.269124,0.026912
1,1,0.110000,0.308926,0.033982
1,1,0.120000,0.288575,0.034629
1,1,0.130000,0.294787,0.038322
1,1,0.140000,0.292635,0.040969
1,1,0.150000,0.301885,0.045283
1,1,0.160000,0.326965,0.052314
1,1,0.170000,0.313613,0.053314
1,1,0.180000,0.324001,0.058320
1,1,0.190000,0.338508,0.064316
1,1,0.200000,0.336527,0.067305
1,1,0.210000,0.361836,0.075986
1,1,0.220000,0.366606,0.080653
1,1,0.230000,0.369543,0.084995
1,1,0.240000,0.388874,0.093330
1,1,0.250000,0.398657,0.099664
1,1,0.260000,0.396114,0.102990
1,1,0.270000,0.402458,0.108664
1,1,0.280000,0.404753,0.113331
1,1,0.290000,0.425279,0.123331
1,1,0.300000,0.433333,0.130000
1,1,0.310000,0.436551,0.135331
1,1,0.320000,0.447910,0.143331
1,1,0.330000,0.446458,0.147331
1,1,0.340000,0.455880,0.154999
1,1,0.350000,0.459987,0.160995
1,1,0.360000,0.465740,0.167666
1,1,0.370000,0.484684,0.179333
1,1,0.380000,0.472806,0.179666
1,1,0.390000,0.500000,0.195000
1,1,0.400000,0.506666,0.202667
1,1,0.410000,0.504877,0.207000
1,1,0.420000,0.518254,0.217667
1,1,0.430000,0.531782,0.228666
1,1,0.440000,0.515151,0.226666
1,1,0.450000,0.537778,0.242000
1,1,0.460000,0.550724,0.253333
1,1,0.470000,0.552482,0.259667
1,1,0.480000,0.563194,0.270333
1,1,0.490000,0.565306,0.277000
1,1,0.500000,0.578667,0.289333
1,1,0.510000,0.589542,0.300667
1,1,0.520000,0.593590,0.308667
1,1,0.530000,0.615723,0.326333
1,1,0.540000,0.604938,0.326667
1,1,0.550000,0.623030,0.342667
1,1,0.560000,0.626190,0.350667
1,1,0.570000,0.630994,0.359667
1,1,0.580000,0.642529,0.372667
1,1,0.590000,0.647458,0.382000
1,1,0.600000,0.657222,0.394333
1,1,0.610000,0.665027,0.405667
1,1,0.620000,0.681183,0.422333
1,1,0.630000,0.677249,0.426667
1,1,0.640000,0.696354,0.445667
1,1,0.650000,0.702051,0.456333
1,1,0.660000,0.701010,0.462667
1,1,0.670000,0.714925,0.479000
1,1,0.680000,0.726471,0.494000
1,1,0.690000,0.737681,0.509000
1,1,0.700000,0.738095,0.516667
1,1,0.710000,0.749296,0.532000
1,1,0.720000,0.769444,0.554000
1,1,0.730000,0.765297,0.558667
1,1,0.740000,0.784234,0.580333
1,1,0.750000,0.789778,0.592333
1,1,0.760000,0.794298,0.603667
1,1,0.770000,0.808225,0.622333
1,1,0.780000,0.807692,0.630000
1,1,0.790000,0.816878,0.645333
1,1,0.800000,0.831250,0.665000
1,1,0.810000,0.842798,0.682667
1,1,0.820000,0.847968,0.695333
1,1,0.830000,0.859839,0.713667
1,1,0.840000,0.860714,0.723000
1,1,0.850000,0.872157,0.741334
1,1,0.860000,0.883334,0.759667
1,1,0.870000,0.893871,0.777668
1,1,0.880000,0.898486,0.790668
1,1,0.890000,0.911613,0.811335
1,1,0.900000,0.919268,0.827341
1,1,0.910000,0.931879,0.848010
1,1,0.920000,0.942398,0.867006
1,1,0.930000,0.950187,0.883674
1,1,0.940000,0.964201,0.906349
1,1,0.950000,0.964589,0.916359
1,1,0.960000,0.971960,0.933082
1,1,0.970000,0.982601,0.953123
1,1,0.980000,0.993362,0.973495
1,1,0.990000,0.997946,0.987966
2,1,0.020000,0.431864,0.008637
2,1,0.030000,0.316020,0.009481
2,1,0.040000,0.242221,0.009689
2,1,0.050000,0.213066,0.010653
2,1,0.060000,0.237969,0.014278
2,1,0.070000,0.306211,0.021435
2,1,0.080000,0.289301,0.023144
2,1,0.090000,0.302037,0.027183
2,1,0.100000,0.344077,0.034408
2,1,0.110000,0.338242,0.037207
2,1,0.120000,0.379766,0.045572
2,1,0.130000,0.370573,0.048175
2,1,0.140000,0.411742,0.057644
2,1,0.150000,0.415403,0.062311
2,1,0.160000,0.424820,0.067971
2,1,0.170000,0.427164,0.072618
2,1,0.180000,0.460999,0.082980
2,1,0.190000,0.457801,0.086982
2,1,0.200000,0.463220,0.092644
2,1,0.210000,0.493596,0.103655
2,1,0.220000,0.503000,0.110660
2,1,0.230000,0.505751,0.116323
2,1,0.240000,0.520827,0.124999
2,1,0.250000,0.530642,0.132660
2,1,0.260000,0.551276,0.143332
2,1,0.270000,0.561722,0.151665
2,1,0.280000,0.552372,0.154664
2,1,0.290000,0.591948,0.171665
2,1,0.300000,0.582213,0.174664
2,1,0.310000,0.607521,0.188331
2,1,0.320000,0.598955,0.191666
2,1,0.330000,0.632320,0.208666
2,1,0.340000,0.635291,0.215999
2,1,0.350000,0.617136,0.215997
2,1,0.360000,0.635182,0.228665
2,1,0.370000,0.654948,0.242331
2,1,0.380000,0.671052,0.255000
2,1,0.390000,0.675212,0.263333
2,1,0.400000,0.695000,0.278000
2,1,0.410000,0.704876,0.288999
2,1,0.420000,0.724603,0.304333
2,1,0.430000,0.737984,0.317333
2,1,0.440000,0.735606,0.323666
2,1,0.450000,0.754814,0.339666
2,1,0.460000,0.771739,0.355000
2,1,0.470000,0.780851,0.367000
2,1,0.480000,0.781944,0.375333
2,1,0.490000,0.804081,0.394000
2,1,0.500000,0.811333,0.405667
2,1,0.510000,0.834640,0.425667
2,1,0.520000,0.850000,0.442000
2,1,0.530000,0.854717,0.453000
2,1,0.540000,0.879012,0.474667
2,1,0.550000,0.883636,0.486000
2,1,0.560000,0.899405,0.503667
2,1,0.570000,0.895322,0.510333
2,1,0.580000,0.936782,0.543333
2,1,0.590000,0.933899,0.551000
2,1,0.600000,0.938889,0.563334
2,1,0.610000,0.967216,0.590002
2,1,0.620000,0.989249,0.613334
2,1,0.630000,0.998417,0.629003
2,1,0.640000,1.015643,0.650011
2,1,0.650000,1.030289,0.669688
2,1,0.660000,1.056602,0.697358
2,1,0.670000,1.075330,0.720471
2,1,0.680000,1.085051,0.737835
2,1,0.690000,1.117971,0.771400
2,1,0.700000,1.127281,0.789096
2,1,0.710000,1.151742,0.817737
2,1,0.720000,1.168778,0.841520
2,1,0.730000,1.196343,0.873331
2,1,0.740000,1.236277,0.914845
2,1,0.750000,1.246213,0.934660
2,1,0.760000,1.281889,0.974235
2,1,0.770000,1.274444,0.981322
4,1,0.020000,0.474030,0.009481
4,1,0.030000,0.079244,0.002377
4,1,0.040000,0.262771,0.010511
4,1,0.050000,0.114039,0.005702
4,1,0.060000,0.282721,0.016963
4,1,0.070000,0.355988,0.024919
4,1,0.080000,0.381000,0.030480
4,1,0.090000,0.335909,0.030232
4,1,0.100000,0.402804,0.040280
4,1,0.110000,0.374893,0.041238
4,1,0.120000,0.422073,0.050649
4,1,0.130000,0.422740,0.054956
4,1,0.140000,0.476119,0.066657
4,1,0.150000,0.484119,0.072618
4,1,0.160000,0.499949,0.079992
4,1,0.170000,0.513698,0.087329
4,1,0.180000,0.529589,0.095326
4,1,0.190000,0.547360,0.103998
4,1,0.200000,0.573327,0.114665
4,1,0.210000,0.565064,0.118663
4,1,0.220000,0.581809,0.127998
4,1,0.230000,0.613040,0.140999
4,1,0.240000,0.602773,0.144665
4,1,0.250000,0.613325,0.153331
4,1,0.260000,0.638460,0.166000
4,1,0.270000,0.635802,0.171667
4,1,0.280000,0.653569,0.182999
4,1,0.290000,0.668964,0.194000
4,1,0.300000,0.693333,0.208000
4,1,0.310000,0.701075,0.217333
4,1,0.320000,0.691666,0.221333
4,1,0.330000,0.720202,0.237667
4,1,0.340000,0.756863,0.257333
4,1,0.350000,0.770476,0.269667
4,1,0.360000,0.785185,0.282667
4,1,0.370000,0.783784,0.290000
4,1,0.380000,0.784210,0.298000
4,1,0.390000,0.820513,0.320000
4,1,0.400000,0.831667,0.332667
4,1,0.410000,0.845528,0.346667
4,1,0.420000,0.870635,0.365667
4,1,0.430000,0.863566,0.371333
4,1,0.440000,0.891667,0.392333
4,1,0.450000,0.919259,0.413667
4,1,0.460000,0.926087,0.426000
4,1,0.470000,0.956028,0.449333
4,1,0.480000,0.970139,0.465667
4,1,0.490000,0.995238,0.487667
4,1,0.500000,0.998000,0.499000
4,1,0.510000,1.022222,0.521333
