n,L,Delta,Kappa
100,1,0.05,0.012377315582623723
100,1,0.06,0.011020080789297813
100,1,0.07,0.014969128255017354
100,1,0.08,0.020935687942784283
100,1,0.09,0.024159986731576724
100,1,0.1,0.027651685604195654
100,1,0.11,0.029992023309737978
100,1,0.12,0.03362718815111992
100,1,0.13,0.0402981542362202
100,1,0.14,0.04095281591330617
100,1,0.15,0.04760909758042642
100,1,0.16,0.05432203108621738
100,1,0.17,0.057319536996092484
100,1,0.18,0.06265153756025668
100,1,0.19,0.06631756557045732
100,1,0.2,0.07330512181824166
100,1,0.21,0.07598183179685072
100,1,0.22,0.08199362147578594
100,1,0.23,0.08699033451362098
100,1,0.24,0.09032266542133134
100,1,0.25,0.09599773113320086
100,1,0.26,0.10131566892038658
100,1,0.27,0.10633286404730784
100,1,0.28,0.11165747329345485
100,1,0.29,0.12333075877899642
100,1,0.3,0.1253305644778337
100,1,0.31,0.13199718390450912
100,1,0.32,0.1416687735814221
100,1,0.33,0.14799454114450467
100,1,0.34,0.15597600852561969
100,1,0.35,0.16530950410884918
100,1,0.36,0.16766223992632143
100,1,0.37,0.17396074781681684
100,1,0.38,0.18131622093069996
100,1,0.39,0.1929754856228408
100,1,0.4,0.19710335518782532
100,1,0.41,0.21234575265686778
100,1,0.42,0.21596010475753172
100,1,0.43,0.2235816425275313
100,1,0.44,0.23594866827240604
100,1,0.45,0.24536245514815672
100,1,0.46,0.25435610682273824
100,1,0.47,0.26292436364514304
100,1,0.48,0.27234967635961166
100,1,0.49,0.2768436891169715
100,1,0.5,0.2877555070663999
100,1,0.51,0.29562698517905006
100,1,0.52,0.30388998502875647
100,1,0.53,0.32437701514844
100,1,0.54,0.334250957323163
100,1,0.55,0.33619875415205575
100,1,0.56,0.3499999998268095
100,1,0.57,0.362794425866583
100,1,0.58,0.37136889013601976
100,1,0.59,0.38726943023926313
100,1,0.6,0.39234569387226653
100,1,0.61,0.4082685650947441
100,1,0.62,0.42478474242759773
100,1,0.63,0.43143825460055396
100,1,0.64,0.44458134591845055
100,1,0.65,0.4535384723579321
100,1,0.66,0.4652399237643704
100,1,0.67,0.4761727938880843
100,1,0.68,0.48867575555754056
100,1,0.69,0.5054732818134658
100,1,0.7,0.5202844223878815
100,1,0.71,0.5290111855610096
100,1,0.72,0.5506939198387317
100,1,0.73,0.561750551592548
100,1,0.74,0.5765936235924775
100,1,0.75,0.5937632521259105
100,1,0.76,0.6034302032811439
100,1,0.77,0.6204865789625443
100,1,0.78,0.6324293621486888
100,1,0.79,0.6537521021652941
100,1,0.8,0.6619389338684234
100,1,0.81,0.6816974714065298
100,1,0.82,0.6944946358052402
100,1,0.83,0.7182563858710381
100,1,0.84,0.7254687841605264
100,1,0.85,0.7437713955173498
100,1,0.86,0.7524683848690981
100,1,0.87,0.7776461431579119
100,1,0.88,0.7986314593491679
100,1,0.89,0.8090975185684606
100,1,0.9,0.8326954111445538
100,1,0.91,0.8483195581054781
100,1,0.92,0.8649811681670034
100,1,0.93,0.8863085672850828
100,1,0.94,0.8973259302446176
100,1,0.95,0.9180366603874492
100,1,0.96,0.9371414041635046
100,1,0.97,0.9542633330889035
100,1,0.98,0.9716831552417837
100,1,0.99,0.9929730916769383
200,1,0.05,0.009083679655713398
200,1,0.06,0.013456193389074828
200,1,0.07,0.015625846364642725
200,1,0.08,0.019300477825777228
200,1,0.09,0.022492408205751296
200,1,0.1,0.02615826595925444
200,1,0.11,0.028830671662781956
200,1,0.12,0.03333039475206961
200,1,0.13,0.03733094047456176
200,1,0.14,0.04066314140223038
200,1,0.15,0.044998796940879326
200,1,0.16,0.048331702081151035
200,1,0.17,0.053832076143963965
200,1,0.18,0.05816581842344405
200,1,0.19,0.06349956695767593
200,1,0.2,0.06583296851665162
200,1,0.21,0.0734992553852017
200,1,0.22,0.0784991895735635
200,1,0.23,0.08483322756529212
200,1,0.24,0.08633284996941425
200,1,0.25,0.09483317687194348
200,1,0.26,0.09866660871603274
200,1,0.27,0.10649990356391127
200,1,0.28,0.11316661111357322
200,1,0.29,0.11649961620327288
200,1,0.3,0.12383313252852421
200,1,0.31,0.1329998406436901
200,1,0.32,0.13666576026026392
200,1,0.33,0.14349929907288053
200,1,0.34,0.14949669788119763
200,1,0.35,0.15866598161043638
200,1,0.36,0.16849966015965712
200,1,0.37,0.17383309920717144
200,1,0.38,0.18083226309659425
200,1,0.39,0.18799157504929193
200,1,0.4,0.19749613607060157
200,1,0.41,0.2041661498944932
200,1,0.42,0.21433001045562355
200,1,0.43,0.22032312294108627
200,1,0.44,0.23015635446951246
200,1,0.45,0.23983304848628026
200,1,0.46,0.2499999998998642
200,1,0.47,0.2554781302870172
200,1,0.48,0.2676596368043493
200,1,0.49,0.27564674756961244
200,1,0.5,0.2863199144814016
200,1,0.51,0.293830266998714
200,1,0.52,0.3051497406289082
200,1,0.53,0.31565429493218006
200,1,0.54,0.32228793724315047
200,1,0.55,0.3366376115759228
200,1,0.56,0.3476591349121963
200,1,0.57,0.35612121198642144
200,1,0.58,0.36699284193641146
200,1,0.59,0.3779589539087942
200,1,0.6,0.389445234425819
200,1,0.61,0.4017641773815637
200,1,0.62,0.41277954501430214
200,1,0.63,0.4209137682437484
200,1,0.64,0.43845979616170533
200,1,0.65,0.4509798753236512
200,1,0.66,0.46075988674067575
200,1,0.67,0.4748320305975926
200,1,0.68,0.4869360619139494
200,1,0.69,0.4992943415742163
200,1,0.7,0.5150819353377919
200,1,0.71,0.5245481965540338
200,1,0.72,0.5421440849218173
200,1,0.73,0.5528446147233298
200,1,0.74,0.5672673238727433
200,1,0.75,0.5846393804224569
200,1,0.76,0.5970925163994515
200,1,0.77,0.6122342570750595
200,1,0.78,0.6298901761310861
200,1,0.79,0.6436012636336191
200,1,0.8,0.6547668955657632
200,1,0.81,0.6711175599131146
200,1,0.82,0.6862200187389457
200,1,0.83,0.7017897663892042
200,1,0.84,0.7231257241165723
200,1,0.85,0.7382976244425373
200,1,0.86,0.7552823108250982
200,1,0.87,0.7702867403965961
200,1,0.88,0.7889788787576946
200,1,0.89,0.8068157274100823
200,1,0.9,0.8239854012603379
200,1,0.91,0.8388127505850962
200,1,0.92,0.8604968378825564
200,1,0.93,0.8749826741447347
200,1,0.94,0.8966644181142807
200,1,0.95,0.9145015510580915
200,1,0.96,0.9310203818980824
200,1,0.97,0.9508583181548871
200,1,0.98,0.968573206104479
200,1,0.99,0.9855438577268981
400,1,0.05,0.009980705923245408
400,1,0.06,0.01224293977337731
400,1,0.07,0.01574708379189774
400,1,0.08,0.018078672764544012
400,1,0.09,0.020830813829228478
400,1,0.1,0.024749924565555553
400,1,0.11,0.028999994942181025
400,1,0.12,0.03199971134344553
400,1,0.13,0.036249805169796874
400,1,0.14,0.039999944044966845
400,1,0.15,0.043916617897780647
400,1,0.16,0.04783331085501958
400,1,0.17,0.05258333005643913
400,1,0.18,0.057249960132004944
400,1,0.19,0.061583328597369556
400,1,0.2,0.06766665469886946
400,1,0.21,0.07158333271312219
400,1,0.22,0.07691666273433483
400,1,0.23,0.08383333295136357
400,1,0.24,0.08674999980220599
400,1,0.25,0.09433333288843182
400,1,0.26,0.09716666539709941
400,1,0.27,0.10374999894390512
400,1,0.28,0.11199999938401436
400,1,0.29,0.11616666258904296
400,1,0.3,0.12358332854310303
400,1,0.31,0.12916665818463544
400,1,0.32,0.1364166607290575
400,1,0.33,0.143166640409616
400,1,0.34,0.14924997321634195
400,1,0.35,0.15541655369541887
400,1,0.36,0.16441664385287177
400,1,0.37,0.1714166584762217
400,1,0.38,0.17899987852973265
400,1,0.39,0.18741655247294495
400,1,0.4,0.1941665372399787
400,1,0.41,0.20258327984065433
400,1,0.42,0.21166652420489604
400,1,0.43,0.21874962808281956
400,1,0.44,0.22666595830143155
400,1,0.45,0.23774991687995417
400,1,0.46,0.2467498125420206
400,1,0.47,0.25333226488284294
400,1,0.48,0.26324908747241427
400,1,0.49,0.27249900963324913
400,1,0.5,0.2813301773855211
400,1,0.51,0.29266608074244477
400,1,0.52,0.30199922139595936
400,1,0.53,0.3115807098451235
400,1,0.54,0.32358071903212215
400,1,0.55,0.33308116414774436
400,1,0.56,0.34524945506929916
400,1,0.57,0.3549974197211888
400,1,0.58,0.36533204868619323
400,1,0.59,0.3764142565601634
400,1,0.6,0.38724014608944646
400,1,0.61,0.399329570473853
400,1,0.62,0.41266126582028667
400,1,0.63,0.421076157683842
400,1,0.64,0.43457975762996276
400,1,0.65,0.44549132056660506
400,1,0.66,0.46007691437949466
400,1,0.67,0.4719148020578704
400,1,0.68,0.4859959242612301
400,1,0.69,0.4979938070123034
400,1,0.7,0.511236955235199
400,1,0.71,0.5256616125952052
400,1,0.72,0.5404153088397915
400,1,0.73,0.5536602248017646
400,1,0.74,0.5667452808503067
400,1,0.75,0.5809920836168585
400,1,0.76,0.5942444068680304
400,1,0.77,0.6085772019709268
400,1,0.78,0.6244017485602765
400,1,0.79,0.6399882411670721
400,1,0.8,0.6556601203351204
400,1,0.81,0.6688274007350852
400,1,0.82,0.6870760117535443
400,1,0.83,0.7010798828192905
400,1,0.84,0.7179089422238595
400,1,0.85,0.7338303150652318
400,1,0.86,0.7518304619912132
400,1,0.87,0.768411000549396
400,1,0.88,0.7844980941377756
400,1,0.89,0.8027476480995341
400,1,0.9,0.8209993545386116
400,1,0.91,0.8374991931298628
400,1,0.92,0.8545357264669953
400,1,0.93,0.8737496055080488
400,1,0.94,0.8923034139825013
400,1,0.95,0.9103333667512948
400,1,0.96,0.9283336242145906
400,1,0.98,0.9675874476268479
400,1,0.99,0.9870792167793108
800,1,0.05,0.009999323902460819
800,1,0.06,0.01279151917772923
800,1,0.07,0.015249909300963212
800,1,0.08,0.018416597968850704
800,1,0.09,0.020958305036616824
800,1,0.1,0.024421038270532377
800,1,0.11,0.028749994266750126
800,1,0.12,0.031840743759465336
800,1,0.13,0.0356257356409994
800,1,0.14,0.0391666662511628
800,1,0.15,0.04345491119770829
800,1,0.16,0.04791666654655941
800,1,0.17,0.051935959539891746
800,1,0.18,0.05661094520777542
800,1,0.19,0.06119015978908264
800,1,0.2,0.06574999996627272
800,1,0.21,0.07129166668239349
800,1,0.23,0.08112049933420197
800,1,0.24,0.0864166666844652
800,1,0.25,0.09216691218315766
800,1,0.26,0.09837500013795751
800,1,0.27,0.10366666666937287
800,1,0.28,0.10979166667569322
800,1,0.29,0.11641666668764465
800,1,0.3,0.12243540829434209
800,1,0.31,0.12912502129069298
800,1,0.32,0.13591666674981875
800,1,0.33,0.14354166939428936
800,1,0.34,0.14933348767682383
800,1,0.35,0.1566254574813206
800,1,0.36,0.16325002312912912
800,1,0.37,0.17050743414396252
800,1,0.38,0.17812499897686604
800,1,0.39,0.1864583300748051
800,1,0.4,0.19345835252208027
800,1,0.41,0.20120866854424455
800,1,0.42,0.21141666346435253
800,1,0.43,0.21820996485566405
800,1,0.44,0.22704340770619583
800,1,0.45,0.23608444729033054
800,1,0.46,0.2452811841553564
800,1,0.47,0.252916659787657
800,1,0.48,0.263000699212211
800,1,0.49,0.27325063702095215
800,1,0.5,0.2815416404679339
800,1,0.51,0.29166665690850174
800,1,0.52,0.3007092714588445
800,1,0.53,0.31145829764392097
800,1,0.54,0.3222504675268033
800,1,0.55,0.3314007972977765
800,1,0.56,0.34272005602498745
800,1,0.57,0.35291664961844016
800,1,0.58,0.3653134026986261
800,1,0.59,0.3761669215546546
800,1,0.61,0.3972081099064517
800,1,0.62,0.411207994517179
800,1,0.63,0.42148475885183107
800,1,0.64,0.4337498562994868
800,1,0.65,0.44602566075742434
800,1,0.66,0.4582270826115098
800,1,0.67,0.47166662982478114
800,1,0.68,0.48387547918496476
800,1,0.69,0.49624969355138543
800,1,0.7,0.5107078321372335
800,1,0.71,0.5229096271334845
800,1,0.72,0.5381248073155507
800,1,0.73,0.5512851447590874
800,1,0.74,0.5649150261373729
800,1,0.75,0.5791662104423053
800,1,0.76,0.593464669692605
800,1,0.77,0.6070863615150011
800,1,0.78,0.6228181283850428
800,1,0.79,0.6392497345062877
800,1,0.8,0.6547080667439087
800,1,0.81,0.6703391562804429
800,1,0.82,0.6853101729835599
800,1,0.83,0.7002499227100372
800,1,0.84,0.7172641417714232
800,1,0.85,0.733505489573413
800,1,0.86,0.7506252227980295
800,1,0.87,0.7666670149169886
800,1,0.88,0.7838749393320064
800,1,0.89,0.8014165306451324
800,1,0.9,0.8182309872690504
800,1,0.91,0.8367918505423357
800,1,0.92,0.8534219440845817
800,1,0.93,0.8726670456611871
800,1,0.94,0.8908247195652235
800,1,0.95,0.9099167897319689
800,1,0.96,0.9292088542484513
800,1,0.97,0.9472917273528415
800,1,0.98,0.9663429969652823
800,1,0.99,0.986067427650375
