EPS,MSE,T
5.00E-04,0.00464706,2.622452458
0.001,0.008312319,2.429417358
0.0015,0.011613528,2.312183846
0.002,0.014683568,2.226965911
0.0025,0.017584822,2.159639035
0.003,0.020353657,2.104082591
0.0035,0.023013878,2.056530042
0.004,0.025582263,2.014627301
0.0045,0.028071262,1.97790355
0.005,0.030490467,1.944475521
0.0055,0.032847492,1.913872395
0.006,0.035148518,1.886094173
0.0065,0.037398666,1.860199221
0.007,0.039602238,1.836187538
0.0075,0.041762901,1.814059124
0.008,0.043883815,1.792872345
0.0085,0.045967736,1.773098017
0.009,0.048017075,1.754265324
0.0095,0.05003397,1.736374266
0.01,0.052020326,1.719424843
0.0105,0.053977847,1.702946237
0.011,0.05590807,1.687409265
0.0115,0.057812385,1.672813929
0.012,0.059692059,1.658218592
0.0125,0.061548244,1.64456489
0.013,0.063382001,1.631382005
0.0135,0.065194303,1.618669937
0.014,0.06698605,1.606428687
0.0145,0.068758072,1.594658254
0.015,0.070511139,1.582887821
0.0155,0.072245974,1.571588205
0.016,0.073963238,1.560759407
0.0165,0.075663556,1.550401426
0.017,0.077347524,1.540043445
0.0175,0.079015682,1.530156281
0.018,0.08066855,1.520739935
0.0185,0.082306615,1.511323589
0.019,0.083930331,1.501907242
0.0195,0.085540137,1.492961713
0.02,0.087136444,1.484016184
0.0205,0.088719632,1.475541473
0.021,0.09029008,1.467066761
0.0215,0.091848125,1.459062867
0.022,0.093394111,1.451058972
0.0225,0.094928357,1.443055078
0.023,0.09645115,1.435522001
0.0235,0.097962793,1.427988924
0.024,0.099463556,1.420926664
0.0245,0.100953699,1.413393587
0.025,0.102433478,1.406331327
0.0255,0.103903137,1.399269067
0.026,0.105362894,1.392677625
0.0265,0.106812986,1.386086182
0.027,0.108253618,1.37949474
0.0275,0.109684995,1.372903297
0.028,0.111107322,1.366311855
0.0285,0.11252077,1.36019123
0.029,0.113925536,1.354070605
0.0295,0.115321794,1.34794998
0.03,0.116709712,1.342300172
0.0305,0.118089446,1.336179547
0.031,0.119461163,1.330529739
0.0315,0.120825013,1.324879931
0.032,0.12218114,1.319230123
0.0325,0.123529689,1.313580315
0.033,0.124870799,1.308401325
0.0335,0.126204595,1.302751517
0.034,0.127531212,1.297572527
0.0345,0.128850775,1.292393536
0.035,0.130163405,1.287214546
0.0355,0.131469219,1.282035555
0.036,0.132768332,1.277327382
0.0365,0.134060844,1.272148392
0.037,0.135346878,1.267440218
0.0375,0.136626532,1.262261228
0.038,0.137899899,1.257553055
0.0385,0.139167087,1.252844882
0.039,0.14042819,1.248607526
0.0395,0.141683292,1.243899352
0.04,0.142932495,1.239191179
0.0405,0.144175887,1.234953823
0.041,0.145413544,1.23024565
0.0415,0.146645555,1.226008294
0.042,0.147872005,1.221770939
0.0425,0.149092969,1.217533583
0.043,0.150308523,1.213296227
0.0435,0.151518743,1.209058871
0.044,0.152723703,1.204821515
0.0445,0.15392348,1.200584159
0.045,0.155118135,1.196817621
0.0455,0.156307739,1.192580265
0.046,0.157492362,1.188813726
0.0465,0.158672072,1.18457637
0.047,0.159846916,1.180809832
0.0475,0.161016973,1.177043293
0.048,0.162182299,1.173276755
0.0485,0.163342953,1.169510216
0.049,0.164498993,1.165743678
0.0495,0.165650476,1.161977139
0.05,0.166797461,1.158210601
0.0505,0.167939996,1.154914879
0.051,0.169078131,1.151148341
0.0515,0.170211935,1.147381802
0.052,0.171341435,1.144086081
0.0525,0.17246671,1.140319543
0.053,0.173587775,1.137023821
0.0535,0.174704705,1.1337281
0.054,0.175817543,1.130432379
0.0545,0.176926324,1.12666584
0.055,0.178031096,1.123370119
0.0555,0.179131908,1.120074398
0.056,0.180228804,1.116778677
0.0565,0.181321824,1.113482956
0.057,0.182411014,1.110187234
0.0575,0.1834964,1.10736233
0.058,0.184578034,1.104066609
0.0585,0.185655961,1.100770888
0.059,0.186730217,1.097945984
0.0595,0.187800822,1.094650263
0.06,0.188867843,1.091354542
0.0605,0.189931286,1.088529638
0.061,0.19099122,1.085233917
0.0615,0.192047641,1.082409013
0.062,0.193100618,1.079584109
0.0625,0.194150177,1.076288387
0.063,0.195196333,1.073463484
0.0635,0.196239137,1.07063858
0.064,0.19727862,1.067813676
0.0645,0.198314812,1.064988772
0.065,0.199347743,1.062163868
0.0655,0.200377442,1.059338964
0.066,0.201403941,1.05651406
0.0665,0.202427269,1.053689156
0.067,0.203447456,1.050864252
0.0675,0.204464533,1.048039348
0.068,0.205478529,1.045214445
0.0685,0.206489474,1.042389541
0.069,0.207497377,1.040035454
0.0695,0.208502282,1.03721055
0.07,0.209504223,1.034385646
0.0705,0.210503203,1.03203156
0.071,0.211499267,1.029206656
0.0715,0.212492435,1.026852569
0.072,0.213482725,1.024027665
0.0725,0.214470173,1.021673579
0.073,0.215454797,1.018848675
0.0735,0.216436617,1.016494588
0.074,0.217415674,1.014140502
0.0745,0.218391962,1.011315598
0.075,0.219365525,1.008961511
0.0755,0.220336388,1.006607425
0.076,0.221304567,1.003782521
0.0765,0.222270071,1.001428434
0.077,0.223232936,0.999074347
0.0775,0.224193184,0.996720261
0.078,0.225150834,0.994366174
0.0785,0.226105906,0.992012088
0.079,0.227058419,0.989658001
0.0795,0.228008394,0.987303915
0.08,0.228955849,0.984949828
0.0805,0.229900806,0.982595741
0.081,0.230843284,0.980241655
0.0815,0.231783303,0.977887568
0.082,0.232720882,0.975533482
0.0825,0.233656041,0.973179395
0.083,0.23458879,0.971296126
0.0835,0.235519146,0.968942039
0.084,0.236447139,0.966587953
0.0845,0.237372788,0.964233866
0.085,0.238296095,0.962350597
0.0855,0.239217081,0.95999651
0.086,0.240135781,0.957642424
0.0865,0.241052186,0.955759154
0.087,0.241966327,0.953405068
0.0875,0.242878227,0.951521798
0.088,0.243787876,0.949167712
0.0885,0.244695327,0.947284443
0.089,0.245600554,0.944930356
0.0895,0.246503613,0.943047087
0.09,0.247404483,0.940693
0.0905,0.248303208,0.938809731
0.091,0.24919979,0.936455644
0.0915,0.250094236,0.934572375
0.092,0.250986585,0.932689106
0.0925,0.251876824,0.930335019
0.093,0.252764978,0.92845175
0.0935,0.253651072,0.926568481
