EPS,MSE,T
0.00990099,0.051630079,1.718784562
0.014826358,0.069904526,1.585783376
0.019751726,0.086347699,1.483474771
0.024677095,0.101479068,1.411858747
0.029602463,0.115608409,1.350473584
0.034527831,0.128925172,1.289088422
0.039453199,0.141568256,1.24816498
0.044378567,0.153636004,1.197010677
0.049303935,0.165200817,1.166318096
0.054229304,0.176328454,1.125394654
0.059154672,0.187062591,1.094702072
0.06408004,0.197446847,1.064009491
0.069005408,0.207511043,1.04354777
0.073930776,0.217280724,1.012855188
0.078856144,0.226785675,0.992393467
0.083781512,0.236046339,0.971931746
0.088706881,0.245076175,0.941239165
0.093632249,0.253891733,0.931008304
0.098557617,0.262504908,0.910546583
0.103482985,0.27093068,0.890084863
0.108408353,0.279183244,0.869623142
0.113333721,0.287276779,0.849161421
0.11825909,0.295202532,0.83893056
0.123184458,0.302989046,0.818468839
0.128109826,0.31062794,0.808237979
0.133035194,0.318144123,0.787776258
0.137960562,0.325518134,0.777545397
0.14288593,0.332778531,0.767314537
0.147811299,0.33992827,0.757083676
0.152736667,0.346956906,0.736621955
0.157662035,0.353879697,0.726391095
0.162587403,0.360702789,0.716160234
0.167512771,0.3674291,0.705929374
0.172438139,0.374061541,0.695698513
0.177363507,0.380603011,0.685467653
0.182288876,0.387056401,0.675236792
0.187214244,0.393424594,0.665005932
0.192139612,0.399710462,0.654775071
0.19706498,0.405916866,0.644544211
0.201990348,0.412046661,0.63431335
0.206915716,0.418102687,0.62408249
0.211841085,0.424087779,0.613851629
0.216766453,0.430004757,0.603620769
0.221691821,0.435856434,0.593389908
0.226617189,0.441645612,0.583159048
0.231542557,0.447367348,0.583159048
0.236467925,0.453020957,0.572928187
0.241393294,0.458618375,0.562697327
0.246318662,0.464162367,0.552466466
0.25124403,0.469655686,0.542235606
0.256169398,0.475078408,0.542235606
0.261094766,0.480450873,0.532004745
0.266020134,0.485778864,0.521773885
0.270945503,0.491056461,0.521773885
0.275870871,0.496271214,0.511543024
0.280796239,0.501447629,0.501312164
0.285721607,0.506582985,0.501312164
0.290646975,0.511653703,0.491081303
0.295572343,0.516692157,0.480850443
0.300497711,0.521688126,0.480850443
0.30542308,0.526628345,0.470619582
0.310348448,0.531542311,0.460388722
0.315273816,0.536401717,0.460388722
0.320199184,0.54122483,0.450157861
0.325124552,0.546017003,0.450157861
0.33004992,0.550753272,0.439927001
0.334975289,0.555472527,0.429696141
0.339900657,0.560132317,0.429696141
0.344826025,0.564771984,0.41946528
0.349751393,0.569366614,0.41946528
0.354676761,0.573930632,0.40923442
0.359602129,0.578460786,0.40923442
0.364527498,0.58295307,0.399003559
0.369452866,0.587419428,0.399003559
0.374378234,0.591843866,0.388772699
0.379303602,0.596247102,0.388772699
0.38422897,0.60060756,0.378541838
0.389154338,0.604948346,0.378541838
0.394079706,0.609248661,0.368310978
0.399005075,0.613527664,0.368310978
0.403930443,0.617771651,0.358080117
0.408855811,0.621989535,0.358080117
0.413781179,0.62618098,0.347849257
0.418706547,0.630338406,0.347849257
0.423631915,0.634481071,0.337618396
0.428557284,0.638578694,0.337618396
0.433482652,0.642676314,0.327387536
0.43840802,0.646714786,0.327387536
0.443333388,0.650753258,0.327387536
0.448258756,0.65475104,0.317156675
0.453184124,0.658731008,0.317156675
0.458109493,0.662691782,0.306925815
0.463034861,0.666613891,0.306925815
0.467960229,0.670536001,0.306925815
0.472885597,0.674406198,0.296694954
0.477810965,0.678271088,0.296694954
0.482736333,0.682112192,0.286464094
0.487661701,0.685920498,0.286464094
0.49258707,0.689728804,0.286464094
0.497512438,0.693488456,0.276233233
