EPS	MSE
5.00E-04	0.00464706
0.001	0.008312319
0.0015	0.011613528
0.002	0.014683568
0.0025	0.017584822
0.003	0.020353657
0.0035	0.023013878
0.004	0.025582263
0.0045	0.028071262
0.005	0.030490467
0.0055	0.032847492
0.006	0.035148518
0.0065	0.037398666
0.007	0.039602238
0.0075	0.041762901
0.008	0.043883815
0.0085	0.045967736
0.009	0.048017075
0.0095	0.05003397
0.01	0.052020326
0.0105	0.053977847
0.011	0.05590807
0.0115	0.057812385
0.012	0.059692059
0.0125	0.061548244
0.013	0.063382001
0.0135	0.065194303
0.014	0.06698605
0.0145	0.068758072
0.015	0.070511139
0.0155	0.072245974
0.016	0.073963238
0.0165	0.075663556
0.017	0.077347524
0.0175	0.079015682
0.018	0.08066855
0.0185	0.082306615
0.019	0.083930331
0.0195	0.085540137
0.02	0.087136444
0.0205	0.088719632
0.021	0.09029008
0.0215	0.091848125
0.022	0.093394111
0.0225	0.094928357
0.023	0.09645115
0.0235	0.097962793
0.024	0.099463556
0.0245	0.100953699
0.025	0.102433478
0.0255	0.103903137
0.026	0.105362894
0.0265	0.106812986
0.027	0.108253618
0.0275	0.109684995
0.028	0.111107322
0.0285	0.11252077
0.029	0.113925536
0.0295	0.115321794
0.03	0.116709712
0.0305	0.118089446
0.031	0.119461163
0.0315	0.120825013
0.032	0.12218114
0.0325	0.123529689
0.033	0.124870799
0.0335	0.126204595
0.034	0.127531212
0.0345	0.128850775
0.035	0.130163405
0.0355	0.131469219
0.036	0.132768332
0.0365	0.134060844
0.037	0.135346878
0.0375	0.136626532
0.038	0.137899899
0.0385	0.139167087
0.039	0.14042819
0.0395	0.141683292
0.04	0.142932495
0.0405	0.144175887
0.041	0.145413544
0.0415	0.146645555
0.042	0.147872005
0.0425	0.149092969
0.043	0.150308523
0.0435	0.151518743
0.044	0.152723703
0.0445	0.15392348
0.045	0.155118135
0.0455	0.156307739
0.046	0.157492362
0.0465	0.158672072
0.047	0.159846916
0.0475	0.161016973
0.048	0.162182299
0.0485	0.163342953
0.049	0.164498993
0.0495	0.165650476
0.05	0.166797461
0.0505	0.167939996
0.051	0.169078131
0.0515	0.170211935
0.052	0.171341435
0.0525	0.17246671
0.053	0.173587775
0.0535	0.174704705
0.054	0.175817543
0.0545	0.176926324
0.055	0.178031096
0.0555	0.179131908
0.056	0.180228804
0.0565	0.181321824
0.057	0.182411014
0.0575	0.1834964
0.058	0.184578034
0.0585	0.185655961
0.059	0.186730217
0.0595	0.187800822
0.06	0.188867843
0.0605	0.189931286
0.061	0.19099122
0.0615	0.192047641
0.062	0.193100618
0.0625	0.194150177
0.063	0.195196333
0.0635	0.196239137
0.064	0.19727862
0.0645	0.198314812
0.065	0.199347743
0.0655	0.200377442
0.066	0.201403941
0.0665	0.202427269
0.067	0.203447456
0.0675	0.204464533
0.068	0.205478529
0.0685	0.206489474
0.069	0.207497377
0.0695	0.208502282
0.07	0.209504223
0.0705	0.210503203
0.071	0.211499267
0.0715	0.212492435
0.072	0.213482725
0.0725	0.214470173
0.073	0.215454797
0.0735	0.216436617
0.074	0.217415674
0.0745	0.218391962
0.075	0.219365525
0.0755	0.220336388
0.076	0.221304567
0.0765	0.222270071
0.077	0.223232936
0.0775	0.224193184
0.078	0.225150834
0.0785	0.226105906
0.079	0.227058419
0.0795	0.228008394
0.08	0.228955849
0.0805	0.229900806
0.081	0.230843284
0.0815	0.231783303
0.082	0.232720882
0.0825	0.233656041
0.083	0.23458879
0.0835	0.235519146
0.084	0.236447139
0.0845	0.237372788
0.085	0.238296095
0.0855	0.239217081
0.086	0.240135781
0.0865	0.241052186
0.087	0.241966327
0.0875	0.242878227
0.088	0.243787876
0.0885	0.244695327
0.089	0.245600554
0.0895	0.246503613
0.09	0.247404483
0.0905	0.248303208
0.091	0.24919979
0.0915	0.250094236
0.092	0.250986585
0.0925	0.251876824
0.093	0.252764978
0.0935	0.253651072
0.094	0.25453511
0.0945	0.255417093
0.095	0.256297053
0.0955	0.257175004
0.096	0.258050956
0.0965	0.258924915
0.097	0.25979689
0.0975	0.260666905
0.098	0.261534972
0.0985	0.262401102
0.099	0.263265308
0.0995	0.2641276
0.1	0.264987992
0.1005	0.265846495
0.101	0.26670312
0.1015	0.267557881
0.102	0.268410787
0.1025	0.269261853
0.103	0.270111088
0.1035	0.270958506
0.104	0.271804118
0.1045	0.272647923
0.105	0.273489939
0.1055	0.274330182
0.106	0.275168664
0.1065	0.276005397
0.107	0.27684038
0.1075	0.27767362
0.108	0.278505145
0.1085	0.279334966
0.109	0.280163067
0.1095	0.280989476
0.11	0.281814216
0.1105	0.282637268
0.111	0.283458656
0.1115	0.284278407
0.112	0.285096485
0.1125	0.285912945
0.113	0.286727775
0.1135	0.287540982
0.114	0.288352593
0.1145	0.289162587
0.115	0.289971011
0.1155	0.290777829
0.116	0.291583097
0.1165	0.29238678
0.117	0.293188923
0.1175	0.293989508
0.118	0.294788558
0.1185	0.295586084
0.119	0.296382072
0.1195	0.297176566
0.12	0.297969534
0.1205	0.298761011
0.121	0.299551013
0.1215	0.300339505
0.122	0.301126535
0.1225	0.301912111
0.123	0.302696207
0.1235	0.303478856
0.124	0.30426007
0.1245	0.305039852
0.125	0.305818184
0.1255	0.306595102
0.126	0.307370612
0.1265	0.308144721
0.127	0.308917416
0.1275	0.309688715
0.128	0.310458631
0.1285	0.311227173
0.129	0.311994345
0.1295	0.312760153
0.13	0.313524599
0.1305	0.314287684
0.131	0.315049426
0.1315	0.31580983
0.132	0.316568903
0.1325	0.317326652
0.133	0.318083081
0.1335	0.318838198
0.134	0.319592009
0.1345	0.320344519
0.135	0.321095734
0.1355	0.321845662
0.136	0.322594307
0.1365	0.323341677
0.137	0.324087776
0.1375	0.324832612
0.138	0.325576191
0.1385	0.326318518
0.139	0.327059599
0.1395	0.327799442
0.14	0.328538051
0.1405	0.329275433
0.141	0.330011591
0.1415	0.330746519
0.142	0.331480237
0.1425	0.332212751
0.143	0.332944067
0.1435	0.333674191
0.144	0.334403129
0.1445	0.335130876
0.145	0.335857433
0.1455	0.33658282
0.146	0.337307044
0.1465	0.338030112
0.147	0.338752012
0.1475	0.339472748
0.148	0.340192344
0.1485	0.340910806
0.149	0.341628124
0.1495	0.342344295
0.15	0.343059349
0.1505	0.343773291
0.151	0.344486092
0.1515	0.345197782
0.152	0.345908379
0.1525	0.346617859
0.153	0.347326233
0.1535	0.348033529
0.154	0.348739723
0.1545	0.349444827
0.155	0.350148868
0.1555	0.350851811
0.156	0.351553689
0.1565	0.352254514
0.157	0.352954247
0.1575	0.353652945
0.158	0.354350574
0.1585	0.355047156
0.159	0.355742704
0.1595	0.356437188
0.16	0.357130666
0.1605	0.357823073
0.161	0.358514482
0.1615	0.359204842
0.162	0.359894201
0.1625	0.360582529
0.163	0.361269855
0.1635	0.361956164
0.164	0.362641477
0.1645	0.363325781
0.165	0.364009099
0.1655	0.364691411
0.166	0.365372753
0.1665	0.366053087
0.167	0.36673247
0.1675	0.36741084
0.168	0.368088269
0.1685	0.368764702
0.169	0.369440187
0.1695	0.370114706
0.17	0.370788259
0.1705	0.371460884
0.171	0.372132519
0.1715	0.372803233
0.172	0.373472998
0.1725	0.374141814
0.173	0.374809716
0.1735	0.375476659
0.174	0.376142683
0.1745	0.3768078
0.175	0.377471959
0.1755	0.378135219
0.176	0.378797577
0.1765	0.379458991
0.177	0.380119514
0.1775	0.380779148
0.178	0.381437847
0.1785	0.38209566
0.179	0.382752593
0.1795	0.383408619
0.18	0.384063751
0.1805	0.38471801
0.181	0.385371399
0.1815	0.386023877
0.182	0.38667549
0.1825	0.387326242
0.183	0.38797613
0.1835	0.388625125
0.184	0.389273266
0.1845	0.389920556
0.185	0.390566998
0.1855	0.391212565
0.186	0.39185728
0.1865	0.392501155
0.187	0.393144191
0.1875	0.393786393
0.188	0.394427732
0.1885	0.395068237
0.189	0.395707915
0.1895	0.396346768
0.19	0.396984799
0.1905	0.397622005
0.191	0.39825837
0.1915	0.398893921
0.192	0.399528659
0.1925	0.400162589
0.193	0.40079571
0.1935	0.401428028
0.194	0.402059542
0.1945	0.402690236
0.195	0.403320133
0.1955	0.403949236
0.196	0.404577546
0.1965	0.405205068
0.197	0.405831802
0.1975	0.406457751
0.198	0.407082919
0.1985	0.407707306
0.199	0.408330916
0.1995	0.408953749
0.2	0.4095758
0.2005	0.410197082
0.201	0.410817596
0.2015	0.411437346
0.202	0.412056334
0.2025	0.412674562
0.203	0.413292032
0.2035	0.413908748
0.204	0.414524711
0.2045	0.415139923
0.205	0.415754388
0.2055	0.416368107
0.206	0.416981083
0.2065	0.417593319
0.207	0.418204816
0.2075	0.418815577
0.208	0.419425605
0.2085	0.420034901
0.209	0.420643469
0.2095	0.42125131
0.21	0.421858427
0.2105	0.422464823
0.211	0.4230705
0.2115	0.423675459
0.212	0.424279704
0.2125	0.424883237
0.213	0.425486058
0.2135	0.426088162
0.214	0.42668956
0.2145	0.427290254
0.215	0.427890247
0.2155	0.428489542
0.216	0.42908814
0.2165	0.429686044
0.217	0.430283256
0.2175	0.430879779
0.218	0.431475616
0.2185	0.432070768
0.219	0.432665223
0.2195	0.433258991
0.22	0.43385208
0.2205	0.434444493
0.221	0.435036233
0.2215	0.435627302
0.222	0.436217702
0.2225	0.436807435
0.223	0.437396481
0.2235	0.43798486
0.224	0.438572578
0.2245	0.439159638
0.225	0.439746043
0.2255	0.440331795
0.226	0.440916882
0.2265	0.4415013
0.227	0.442085072
0.2275	0.442668199
0.228	0.443250684
0.2285	0.443832529
0.229	0.444413703
0.2295	0.444994236
0.23	0.445574136
0.2305	0.446153404
0.231	0.446732044
0.2315	0.44731002
0.232	0.447887365
0.2325	0.448464088
0.233	0.44904019
0.2335	0.449615661
0.234	0.450190484
0.2345	0.450764692
0.235	0.451338288
0.2355	0.451911273
0.236	0.452483604
0.2365	0.453055328
0.237	0.453626449
0.2375	0.454196968
0.238	0.454766837
0.2385	0.455336108
0.239	0.455904784
0.2395	0.456472857
0.24	0.457040295
0.2405	0.457607144
0.241	0.458173407
0.2415	0.458739051
0.242	0.45930409
0.2425	0.459868548
0.243	0.46043242
0.2435	0.460995664
0.244	0.461558333
0.2445	0.46212043
0.245	0.462681908
0.2455	0.463242805
0.246	0.463803136
0.2465	0.464362865
0.247	0.464922005
0.2475	0.465480586
0.248	0.466038577
0.2485	0.466595977
0.249	0.467152823
0.2495	0.467709086
0.25	0.468264762
0.2505	0.46881989
0.251	0.469374435
0.2515	0.469928402
0.252	0.470481827
0.2525	0.471034664
0.253	0.471586939
0.2535	0.472138678
0.254	0.472689817
0.2545	0.473240415
0.255	0.473790471
0.2555	0.474339935
0.256	0.474888873
0.2565	0.475437247
0.257	0.47598506
0.2575	0.476532354
0.258	0.477079055
0.2585	0.477625234
0.259	0.478170869
0.2595	0.478715938
0.26	0.479260498
0.2605	0.479804477
0.261	0.480347938
0.2615	0.48089086
0.262	0.481433228
0.2625	0.481975096
0.263	0.482516378
0.2635	0.483057163
0.264	0.483597398
0.2645	0.484137106
0.265	0.484676298
0.2655	0.485214935
0.266	0.485753085
0.2665	0.486290659
0.267	0.486827749
0.2675	0.487364289
0.268	0.487900323
0.2685	0.488435834
0.269	0.48897082
0.2695	0.489505304
0.27	0.490039247
0.2705	0.490572709
0.271	0.491105615
0.2715	0.491638056
0.272	0.492169934
0.2725	0.492701348
0.273	0.493232214
0.2735	0.493762606
0.274	0.494292463
0.2745	0.494821841
0.275	0.495350693
0.2755	0.495879062
0.276	0.496406913
0.2765	0.496934279
0.277	0.497461132
0.2775	0.497987501
0.278	0.498513361
0.2785	0.499038739
0.279	0.499563609
0.2795	0.500088002
0.28	0.500611886
0.2805	0.5011353
0.281	0.501658201
0.2815	0.502180642
0.282	0.502702564
0.2825	0.503224039
0.283	0.503744985
0.2835	0.504265498
0.284	0.504785474
0.2845	0.505305017
0.285	0.505824041
0.2855	0.506342617
0.286	0.506860694
0.2865	0.507378307
0.287	0.507895444
0.2875	0.508412098
0.288	0.508928301
0.2885	0.509443999
0.289	0.509959272
0.2895	0.51047402
0.29	0.510988342
0.2905	0.511502171
0.291	0.512015546
0.2915	0.51252846
0.292	0.513040892
0.2925	0.513552898
0.293	0.514064391
0.2935	0.514575463
0.294	0.515086052
0.2945	0.51559619
0.295	0.516105884
0.2955	0.516615091
0.296	0.517123882
0.2965	0.517632178
0.297	0.518140043
0.2975	0.51864746
0.298	0.519154402
0.2985	0.519660931
0.299	0.520166969
0.2995	0.520672581
0.3	0.521177754
0.3005	0.521682452
0.301	0.52218674
0.3015	0.522690554
0.302	0.523193934
0.3025	0.523696897
0.303	0.524199371
0.3035	0.524701439
0.304	0.525203063
0.3045	0.52570423
0.305	0.526204993
0.3055	0.526705289
0.306	0.527205156
0.3065	0.527704621
0.307	0.5282036
0.3075	0.528702174
0.308	0.529200332
0.3085	0.529698021
0.309	0.530195309
0.3095	0.53069217
0.31	0.531188577
0.3105	0.531684586
0.311	0.532180161
0.3115	0.532675294
0.312	0.53317003
0.3125	0.533664331
0.313	0.534158195
0.3135	0.534651665
0.314	0.535144703
0.3145	0.535637307
0.315	0.536129518
0.3155	0.536621304
0.316	0.537112654
0.3165	0.537603612
0.317	0.538094157
0.3175	0.53858426
0.318	0.539073973
0.3185	0.539563289
0.319	0.540052151
0.3195	0.540540626
0.32	0.541028714
0.3205	0.541516352
0.321	0.542003595
0.3215	0.542490453
0.322	0.542976887
0.3225	0.543462905
0.323	0.54394854
0.3235	0.544433781
0.324	0.54491858
0.3245	0.545402999
0.325	0.545887037
0.3255	0.546370647
0.326	0.546853856
0.3265	0.547336686
0.327	0.547819129
0.3275	0.548301135
0.328	0.548782764
0.3285	0.549264016
0.329	0.549744861
0.3295	0.550225295
0.33	0.550705355
0.3305	0.551185041
0.331	0.551664305
0.3315	0.552143179
0.332	0.552621681
0.3325	0.553099811
0.333	0.553577513
0.3335	0.554054838
0.334	0.554531792
0.3345	0.555008377
0.335	0.555484535
0.3355	0.555960321
0.336	0.55643574
0.3365	0.55691079
0.337	0.557385423
0.3375	0.557859681
0.338	0.558333574
0.3385	0.558807102
0.339	0.559280226
0.3395	0.559752967
0.34	0.560225346
0.3405	0.560697361
0.341	0.561168996
0.3415	0.561640231
0.342	0.562111105
0.3425	0.562581619
0.343	0.563051774
0.3435	0.563521522
0.344	0.563990904
0.3445	0.564459927
0.345	0.564928593
0.3455	0.565396892
0.346	0.565864791
0.3465	0.566332335
0.347	0.566799523
0.3475	0.567266357
0.348	0.567732818
0.3485	0.568198893
0.349	0.568664615
0.3495	0.569129984
0.35	0.569595001
0.3505	0.570059651
0.351	0.570523917
0.3515	0.570987833
0.352	0.571451399
0.3525	0.571914615
0.353	0.572377481
0.3535	0.572839954
0.354	0.573302079
0.3545	0.573763858
0.355	0.57422529
0.3555	0.574686376
0.356	0.575147093
0.3565	0.575607444
0.357	0.576067451
0.3575	0.576527114
0.358	0.576986434
0.3585	0.577445412
0.359	0.577904017
0.3595	0.578362268
0.36	0.578820178
0.3605	0.579277748
0.361	0.579734978
0.3615	0.580191868
0.362	0.580648398
0.3625	0.581104571
0.363	0.581560406
0.3635	0.582015904
0.364	0.582471066
0.3645	0.582925891
0.365	0.583380381
0.3655	0.583834498
0.366	0.58428828
0.3665	0.584741729
0.367	0.585194843
0.3675	0.585647625
0.368	0.586100075
0.3685	0.586552192
0.369	0.587003945
0.3695	0.587455365
0.37	0.587906455
0.3705	0.588357216
0.371	0.588807647
0.3715	0.589257749
0.372	0.589707523
0.3725	0.59015696
0.373	0.590606046
0.3735	0.591054807
0.374	0.591503241
0.3745	0.59195135
0.375	0.592399133
0.3755	0.592846593
0.376	0.593293728
0.3765	0.593740539
0.377	0.594187001
0.3775	0.594633138
0.378	0.595078953
0.3785	0.595524447
0.379	0.59596962
0.3795	0.596414472
0.38	0.596859005
0.3805	0.597303218
0.381	0.597747113
0.3815	0.598190676
0.382	0.598633908
0.3825	0.599076823
0.383	0.599519421
0.3835	0.599961703
0.384	0.60040367
0.3845	0.600845321
0.385	0.601286658
0.3855	0.60172768
0.386	0.602168388
0.3865	0.602608784
0.387	0.603048853
0.3875	0.603488601
0.388	0.603928037
0.3885	0.604367163
0.389	0.604805978
0.3895	0.605244482
0.39	0.605682677
0.3905	0.606120563
0.391	0.606558141
0.3915	0.60699541
0.392	0.607432371
0.3925	0.607869026
0.393	0.608305373
0.3935	0.608741409
0.394	0.609177127
0.3945	0.60961254
0.395	0.610047648
0.3955	0.610482452
0.396	0.610916953
0.3965	0.611351151
0.397	0.611785046
0.3975	0.612218638
0.398	0.61265193
0.3985	0.61308492
0.399	0.613517609
0.3995	0.613949998
0.4	0.614382087
0.4005	0.614813877
